Source,Year,Month of the year,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Revenue,Quantity Sold,Device
google,2020,1,123,71,147,0.7075,335,0:00:55,0,0,0,0,PC
baidu,2020,2,87,16,146,0.3151,1013,0:04:57,8.9,13,2590,21,PC
AOL,2020,5,120,106,140,0.3643,696,0:03:54,0.71,1,47,1,PC
AOL,2020,6,119,104,139,0.4245,613,0:03:07,0,0,0,0,K
google,2020,4,123,76,137,0.4234,484,0:01:56,0,0,0,0,K
baidu,2019,9,90,83,137,0,465,0:03:43,18.98,26,5908,42,K
google,2020,5,119,112,135,0.2667,546,0:03:40,0,0,0,0,PC
ASK.COM,2020,1,94,71,135,0.2889,1226,0:06:49,2.96,4,2111,5,PC
baidu,2019,9,77,3,133,0.3083,970,0:05:35,6.02,8,1506,14,PC
ASK.COM,2020,5,109,91,132,0.3333,840,0:04:39,0.76,1,130,1,PC
google,2020,5,111,97,131,0.6107,324,0:01:26,0,0,0,0,PC
google,2020,2,112,81,130,0.6846,297,0:01:20,0,0,0,0,PC
ASK.COM,2019,12,117,90,129,0.2946,1000,0:05:36,0.78,1,81,1,PC
google,2020,3,111,70,127,0.622,397,0:01:27,0.79,1,77,1,PC
